model_name,class_imbalance_strategy,feature_name,importance,importance_type,rank,status
lightgbm,balanced,user_past_purchase_count,381.0000000000,split_count,8,estimated
lightgbm,balanced,event_count_view,272.0000000000,split_count,9,estimated
lightgbm,balanced,user_past_cart_count,223.0000000000,split_count,10,estimated
lightgbm,balanced,time_since_previous_event_minutes,164.0000000000,split_count,11,estimated
lightgbm,balanced,event_count_cart,140.0000000000,split_count,12,estimated
lightgbm,balanced,last_event_type__cart,78.0000000000,split_count,13,estimated
lightgbm,balanced,last_price_bin__<=25,26.0000000000,split_count,14,estimated
lightgbm,balanced,last_event_type__view,15.0000000000,split_count,15,estimated
lightgbm,balanced,last_price_bin__100-250,15.0000000000,split_count,16,estimated
lightgbm,balanced,last_price_bin__25-50,15.0000000000,split_count,17,estimated
lightgbm,balanced,last_price_bin__>1000,14.0000000000,split_count,18,estimated
lightgbm,balanced,last_price_bin__250-500,13.0000000000,split_count,19,estimated
lightgbm,balanced,last_price_bin__50-100,6.0000000000,split_count,20,estimated
lightgbm,balanced,last_price_bin__500-1000,6.0000000000,split_count,21,estimated
lightgbm,balanced,event_count_remove_from_cart,0.0000000000,split_count,22,estimated
