model_display,model_name,class_imbalance_strategy,split,sample_count,positive_count,pr_auc,roc_auc,f1,recall_at_k,precision_at_k,threshold,top_k_fraction,status,selection_metric,sample_contract_status,source_artifact
Logistic Regression (none),logistic_regression,none,train,4229262,273625,0.235328,0.700277,0.135878,0.347026,0.224519,0.5,0.1,evaluated,validation_pr_auc,matched_by_split_counts,model_metrics.csv
LightGBM (none),lightgbm,none,train,4229262,273625,0.29258,0.741805,0.18519,0.405051,0.262059,0.5,0.1,evaluated,validation_pr_auc,matched_by_split_counts,model_metrics.csv
GRU (pos_weight),gru,pos_weight,train,4229262,273625,0.339323,0.821988,0.24265,0.445588,0.288286,0.5,0.1,evaluated,validation_pr_auc,matched_by_split_counts,gru_model_metrics.csv
Logistic Regression (none),logistic_regression,none,validation,906259,63186,0.25794,0.717535,0.180423,0.381414,0.265928,0.5,0.1,evaluated,validation_pr_auc,matched_by_split_counts,model_metrics.csv
LightGBM (none),lightgbm,none,validation,906259,63186,0.299799,0.748071,0.190897,0.414459,0.288968,0.5,0.1,evaluated,validation_pr_auc,matched_by_split_counts,model_metrics.csv
GRU (pos_weight),gru,pos_weight,validation,906259,63186,0.17721,0.673473,0.193038,0.300383,0.209432,0.5,0.1,evaluated,validation_pr_auc,matched_by_split_counts,gru_model_metrics.csv
Logistic Regression (none),logistic_regression,none,test,906252,60488,0.267251,0.731565,0.166267,0.400294,0.267175,0.5,0.1,evaluated,validation_pr_auc,matched_by_split_counts,model_metrics.csv
LightGBM (none),lightgbm,none,test,906252,60488,0.30377,0.753253,0.202017,0.426779,0.284852,0.5,0.1,evaluated,validation_pr_auc,matched_by_split_counts,model_metrics.csv
GRU (pos_weight),gru,pos_weight,test,906252,60488,0.173462,0.680508,0.190954,0.310954,0.207545,0.5,0.1,evaluated,validation_pr_auc,matched_by_split_counts,gru_model_metrics.csv
